Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/1965190/?curator_clanid=4777282&utm_source=SteamDB,Dragon Spirits 2,"R$ 35,59",-20%,81.74%,Sep 2024,
https://store.steampowered.com/app/1882140/?curator_clanid=4777282&utm_source=SteamDB,Decisive Campaigns: Ardennes Offensive,"R$ 72,83",-50%,81.71%,Feb 2022,
https://store.steampowered.com/app/1066630/?curator_clanid=4777282&utm_source=SteamDB,Master Magistrate,"R$ 11,59",-80%,81.69%,Jun 2020,
https://store.steampowered.com/app/2008510/?curator_clanid=4777282&utm_source=SteamDB,Go Mecha Ball,"R$ 29,99",-50%,81.69%,Jan 2024,
https://store.steampowered.com/app/2022850/?curator_clanid=4777282&utm_source=SteamDB,Garlant: My Story,"R$ 32,21",-10%,81.66%,Sep 2024,
https://store.steampowered.com/app/763030/?curator_clanid=4777282&utm_source=SteamDB,Nelly Cootalot: Spoonbeaks Ahoy! HD,"R$ 3,49",-50%,81.64%,May 2019,
https://store.steampowered.com/app/562360/?curator_clanid=4777282&utm_source=SteamDB,"Planes, Bullets and Vodka","R$ 1,74",-50%,81.61%,Dec 2016,
https://store.steampowered.com/app/1037120/?curator_clanid=4777282&utm_source=SteamDB,Mutropolis,"R$ 32,62",-43%,81.60%,Feb 2021,
https://store.steampowered.com/app/855850/?curator_clanid=4777282&utm_source=SteamDB,Space Elite Force,"R$ 2,09",-80%,81.59%,May 2018,
https://store.steampowered.com/app/1186400/?curator_clanid=4777282&utm_source=SteamDB,West Sweety,"R$ 2,24",-50%,81.58%,Dec 2019,
https://store.steampowered.com/app/1569810/?curator_clanid=4777282&utm_source=SteamDB,24 Solar Terms,"R$ 10,14",-30%,81.55%,Apr 2023,
https://store.steampowered.com/app/1423330/?curator_clanid=4777282&utm_source=SteamDB,Ancient Warfare: The Han Dynasty,"R$ 41,99",-20%,81.55%,Sep 2023,
https://store.steampowered.com/app/1429500/?curator_clanid=4777282&utm_source=SteamDB,Frontier Hunter: Erza’s Wheel of Fortune,"R$ 48,09",-35%,81.54%,Jul 2024,
https://store.steampowered.com/app/257030/?curator_clanid=4777282&utm_source=SteamDB,Project Nimbus: Complete Edition,"R$ 3,52",-85%,81.53%,Sep 2017,
https://store.steampowered.com/app/2517200/?curator_clanid=4777282&utm_source=SteamDB,Repair this!,"R$ 16,25",-35%,81.53%,Apr 2024,
https://store.steampowered.com/app/1372000/?curator_clanid=4777282&utm_source=SteamDB,Flowstone Saga,"R$ 43,99",-20%,81.53%,Sep 2024,
